ID,Project Title,Requirements,Domain,Complexity Level,Description
1,Social Media App Development,HTML,Social Media,Intermediate,"helps you successfully launch social media app with planning, feedback, and improvisation"
1,Social Media App Development, CSS,Social Media,Intermediate,"helps you successfully launch social media app with planning, feedback, and improvisation"
1,Social Media App Development,JavaScript,Social Media,Intermediate,"helps you successfully launch social media app with planning, feedback, and improvisation"
1,Social Media App Development,PHP or Python,Social Media,Intermediate,"helps you successfully launch social media app with planning, feedback, and improvisation"
1,Social Media App Development,MySQL,Social Media,Intermediate,"helps you successfully launch social media app with planning, feedback, and improvisation"
1,Social Media App Development,PostgreSQL,Social Media,Intermediate,"helps you successfully launch social media app with planning, feedback, and improvisation"
1,Social Media App Development,React or Angular or Vue.js,Social Media,Intermediate,"helps you successfully launch social media app with planning, feedback, and improvisation"
1,Social Media App Development,REST API,Social Media,Intermediate,"helps you successfully launch social media app with planning, feedback, and improvisation"
2,E-commerce Website Development,HTML,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,CSS,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,JavaScript,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,PHP,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,Python,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,MySQL,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development, PostgreSQL,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,AJAX,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,React,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,Angular,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,Vue.js,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
2,E-commerce Website Development,REST API,E-commerce,Intermediate,"the process of executing the build plan for the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages."
4,Natural Language Processing (NLP) Chatbot Development,Python,AI,Advanced,"check common nouns and remove capitalization, so that they can recognize the user input accurately."
4,Natural Language Processing (NLP) Chatbot Development,Natural Language Processing (NLP),AI,Advanced,"check common nouns and remove capitalization, so that they can recognize the user input accurately."
4,Natural Language Processing (NLP) Chatbot Development,Machine Learning,AI,Advanced,"check common nouns and remove capitalization, so that they can recognize the user input accurately."
4,Natural Language Processing (NLP) Chatbot Development,Deep Learning,AI,Advanced,"check common nouns and remove capitalization, so that they can recognize the user input accurately."
4,Natural Language Processing (NLP) Chatbot Development, Neural Networks,AI,Advanced,"check common nouns and remove capitalization, so that they can recognize the user input accurately."
4,Natural Language Processing (NLP) Chatbot Development,Computer Vision,AI,Advanced,"check common nouns and remove capitalization, so that they can recognize the user input accurately."
6,Data Visualization Dashboard Development,HTML,Data Analytics,Intermediate, Explore AWS Cost-Effective Data Visualization Services to Visualize Data in Real Time
6,Data Visualization Dashboard Development,CSS,Data Analytics,Intermediate, Explore AWS Cost-Effective Data Visualization Services to Visualize Data in Real Time
6,Data Visualization Dashboard Development,JavaScript,Data Analytics,Intermediate, Explore AWS Cost-Effective Data Visualization Services to Visualize Data in Real Time
6,Data Visualization Dashboard Development,Python,Data Analytics,Intermediate, Explore AWS Cost-Effective Data Visualization Services to Visualize Data in Real Time
6,Data Visualization Dashboard Development,D3.js,Data Analytics,Intermediate, Explore AWS Cost-Effective Data Visualization Services to Visualize Data in Real Time
6,Data Visualization Dashboard Development,Plotly,Data Analytics,Intermediate, Explore AWS Cost-Effective Data Visualization Services to Visualize Data in Real Time
6,Data Visualization Dashboard Development,Pandas,Data Analytics,Intermediate, Explore AWS Cost-Effective Data Visualization Services to Visualize Data in Real Time
6,Data Visualization Dashboard Development,Matplotlib,Data Analytics,Intermediate, Explore AWS Cost-Effective Data Visualization Services to Visualize Data in Real Time
8,Online Education Platform Development,HTML,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development, CSS,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development,JavaScript,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development,PHP or Python,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development,MySQL,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development,PostgreSQL,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development,React,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development,Angular,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development,Vue.js,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
8,Online Education Platform Development,REST API,Education,Intermediate,The development of an e-learning platform poses the constraints relating to the development of websites but also presents certain specificities coming from its use 
9,IoT-based Smart Home Automation System,C,IoT,Advanced,"controlling, monitoring, and regulating devices in your home from a remote location"
9,IoT-based Smart Home Automation System,Python,IoT,Advanced,"controlling, monitoring, and regulating devices in your home from a remote location"
9,IoT-based Smart Home Automation System,Node.js,IoT,Advanced,"controlling, monitoring, and regulating devices in your home from a remote location"
9,IoT-based Smart Home Automation System,Raspberry Pi,IoT,Advanced,"controlling, monitoring, and regulating devices in your home from a remote location"
9,IoT-based Smart Home Automation System,Arduino,IoT,c,"controlling, monitoring, and regulating devices in your home from a remote location"
9,IoT-based Smart Home Automation System,MQTT,IoT,Advanced,"controlling, monitoring, and regulating devices in your home from a remote location"
9,IoT-based Smart Home Automation System,HTTP,IoT,Advanced,"controlling, monitoring, and regulating devices in your home from a remote location"
9,IoT-based Smart Home Automation System, IoT platforms,IoT,Advanced,"controlling, monitoring, and regulating devices in your home from a remote location"
10,Blockchain-based Voting System,Python,Blockchain,Advanced,software offers various avenues on desktop and mobile for increasing voter accessibility and saving time in the voting process
10,Blockchain-based Voting System,Blockchain,Blockchain,Advanced,software offers various avenues on desktop and mobile for increasing voter accessibility and saving time in the voting process
10,Blockchain-based Voting System,Smart Contracts,Blockchain,Advanced,software offers various avenues on desktop and mobile for increasing voter accessibility and saving time in the voting process
10,Blockchain-based Voting System,Solidity,Blockchain,Advanced,software offers various avenues on desktop and mobile for increasing voter accessibility and saving time in the voting process
10,Blockchain-based Voting System,Web3.js,Blockchain,Advanced,software offers various avenues on desktop and mobile for increasing voter accessibility and saving time in the voting process
10,Blockchain-based Voting System,Ethereum,Blockchain,Advanced,software offers various avenues on desktop and mobile for increasing voter accessibility and saving time in the voting process
12,E-commerce Platform Development,Python,E-commerce,Intermediate,"building the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages. "
12,E-commerce Platform Development,Django,E-commerce,Intermediate,"building the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages. "
12,E-commerce Platform Development,Flask (for backend),E-commerce,Intermediate,"building the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages. "
12,E-commerce Platform Development,HTML,E-commerce,Intermediate,"building the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages. "
12,E-commerce Platform Development,CSS,E-commerce,Intermediate,"building the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages. "
12,E-commerce Platform Development,JavaScript (for frontend),E-commerce,Intermediate,"building the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages. "
12,E-commerce Platform Development,PayPal (for payment processing),E-commerce,Intermediate,"building the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages. "
12,E-commerce Platform Development,Stripe API (for payment processing),E-commerce,Intermediate,"building the backend and frontend of your ecommerce website. This includes your product pages, shopping cart, order form and support pages. "
13,Social Media Analytics,Python,Social Media,Intermediate,collecting data from social media sites and blogs and evaluating that data to make business decisions
13,Social Media Analytics,Numpy,Social Media,Intermediate,collecting data from social media sites and blogs and evaluating that data to make business decisions
13,Social Media Analytics,Pandas,Social Media,Intermediate,collecting data from social media sites and blogs and evaluating that data to make business decisions
15,Natural Language Processing Chatbot,Python,AI,Advanced,using natural language processing (NLP) to understand human language and respond appropriately
15,Natural Language Processing Chatbot,Natural Language Processing (NLP),AI ,Advanced,using natural language processing (NLP) to understand human language and respond appropriately
15,Natural Language Processing Chatbot,Machine Learning,AI,Advanced,using natural language processing (NLP) to understand human language and respond appropriately
15,Natural Language Processing Chatbot,Deep Learning,AI,Advanced,using natural language processing (NLP) to understand human language and respond appropriately
15,Natural Language Processing Chatbot,Neural Networks,AI ,Advanced,using natural language processing (NLP) to understand human language and respond appropriately
16,IoT Home Automation System,C,IoT,Advanced," home automation, see which sensors, IoT platforms, IoT frameworks, hardware, and building tools you should consider for your smart home solution"
16,IoT Home Automation System,Python,IoT,Advanced," home automation, see which sensors, IoT platforms, IoT frameworks, hardware, and building tools you should consider for your smart home solution"
16,IoT Home Automation System,Node.js,IoT,Advanced," home automation, see which sensors, IoT platforms, IoT frameworks, hardware, and building tools you should consider for your smart home solution"
16,IoT Home Automation System,Raspberry Pi,IoT,Advanced," home automation, see which sensors, IoT platforms, IoT frameworks, hardware, and building tools you should consider for your smart home solution"
16,IoT Home Automation System,Arduino,IoT,Advanced," home automation, see which sensors, IoT platforms, IoT frameworks, hardware, and building tools you should consider for your smart home solution"
16,IoT Home Automation System,MQTT ,IoT,Advanced," home automation, see which sensors, IoT platforms, IoT frameworks, hardware, and building tools you should consider for your smart home solution"
16,IoT Home Automation System,HTTP,IoT,Advanced," home automation, see which sensors, IoT platforms, IoT frameworks, hardware, and building tools you should consider for your smart home solution"
17,Computer Vision-Based Security System,Python,Security,Advanced,"a field of artificial intelligence (AI) that enables computers and systems to derive meaningful information from digital images, videos and other visual inputs"
17,Computer Vision-Based Security System,OpenCV,Security,Advanced,"a field of artificial intelligence (AI) that enables computers and systems to derive meaningful information from digital images, videos and other visual inputs"
17,Computer Vision-Based Security System,Deep Learning,Security,Advanced,"a field of artificial intelligence (AI) that enables computers and systems to derive meaningful information from digital images, videos and other visual inputs"
17,Computer Vision-Based Security System,Neural Networks,Security,Advanced,"a field of artificial intelligence (AI) that enables computers and systems to derive meaningful information from digital images, videos and other visual inputs"
18,Social Media Sentiment Analysis,Python,Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
18,Social Media Sentiment Analysis,Natural Language Processing (NLP),Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
18,Social Media Sentiment Analysis,Machine Learning,Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
18,Social Media Sentiment Analysis,Deep Learning,Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
18,Social Media Sentiment Analysis, Neural Networks,Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
18,Social Media Sentiment Analysis,Scikit-Learn,Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
18,Social Media Sentiment Analysis,Numpy,Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
18,Social Media Sentiment Analysis,Pandas,Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
18,Social Media Sentiment Analysis,Matplotlib,Social Media,Advanced,"retrieving information about a consumer’s perception of a product, service or brand"
19,Cloud-Based File Storage and Sharing System,HTML,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,CSS,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,JavaScript,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,PHP,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,Python,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,MySQL,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,PostgreSQL,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,React or Angular,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,Vue.js,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,REST API,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,AWS,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
19,Cloud-Based File Storage and Sharing System,Azure,Cloud Computing,Intermediate,"Stores,shares and retrienes files to & from a cloud storage"
21,Healthcare AI Diagnosis System,Python,Healthcare,High,Diagnoses and follows up on patients health conditions
21,Healthcare AI Diagnosis System,Machine Learning,Healthcare,High,Diagnoses and follows up on patients health conditions
21,Healthcare AI Diagnosis System,Deep Learning,Healthcare,High,Diagnoses and follows up on patients health conditions
21,Healthcare AI Diagnosis System,Neural Networks,Healthcare,High,Diagnoses and follows up on patients health conditions
21,Healthcare AI Diagnosis System, NLP,Healthcare,High,Diagnoses and follows up on patients health conditions
22,E-commerce Inventory Management,Python,E-commerce,Medium,"the act of tracking the location, amount, pricing, and mix of inventory available from your business"
22,E-commerce Inventory Management,Django/Flask,E-commerce,Medium,"the act of tracking the location, amount, pricing, and mix of inventory available from your business"
22,E-commerce Inventory Management,HTML,E-commerce,Medium,"the act of tracking the location, amount, pricing, and mix of inventory available from your business"
22,E-commerce Inventory Management,CSS,E-commerce,Medium,"the act of tracking the location, amount, pricing, and mix of inventory available from your business"
22,E-commerce Inventory Management,JavaScript,E-commerce,Medium,"the act of tracking the location, amount, pricing, and mix of inventory available from your business"
22,E-commerce Inventory Management,REST API,E-commerce,Medium,"the act of tracking the location, amount, pricing, and mix of inventory available from your business"
22,E-commerce Inventory Management,MySQL,E-commerce,Medium,"the act of tracking the location, amount, pricing, and mix of inventory available from your business"
22,E-commerce Inventory Management,PostgreSQL,E-commerce,Medium,"the act of tracking the location, amount, pricing, and mix of inventory available from your business"
22,Digital Marketing Analytics,Python,Marketing,High,Data collection and analysis use for digital marketing
23,Digital Marketing Analytics,SQL,Marketing,High,Data collection and analysis use for digital marketing
23,Digital Marketing Analytics,Pandas,Marketing,High,Data collection and analysis use for digital marketing
23,Digital Marketing Analytics,Matplotlib,Marketing,High,Data collection and analysis use for digital marketing
23,Digital Marketing Analytics,Scikit-learn,Marketing,High,Data collection and analysis use for digital marketing
23,Digital Marketing Analytics,Django,Marketing,High,Data collection and analysis use for digital marketing
23,Digital Marketing Analytics,Flask,Marketing,High,Data collection and analysis use for digital marketing
24,Cybersecurity Monitoring Tool,Python,Cybersecurity,High,"enable developers to detect and respond to security threats in real-time. CSM tools collect data from various sources, including network traffic, system event logs, and user activity. These tools then analyze the data for signs of suspicious or abnormal activity"
